Conditions,                                              SYMPTOMS.       ,,,,,,,,,,,,,,,,,,,drug class,BRAND NAME,api strength unit - mg or ml or ,API - 1,API-1 Strength,API - 2 ,API-2 Strength,API - 3,API-3 Strength,FORM,                     BEFORE MEAL,,,                            AFTER MEAL,,,DOSAGE,                     DAYS,,NO. OF DAYS,QUANTITY OF MEDICINE,,REFER THE PATIENT TO A SPECIALIST,,             IS FOLLOW UP REQUIRED,,,     DATE OF FOLLOW UP,,    INSTRUCTIONS FOR APPLICATION,,,                                                                      CLINICAL ADVICE,,,,,,,,,,,,,,,,,
Spinal Stenosis,Pain or cramping in one or both legs,Problems with walking and balance,"Numbness or tingling in a hand, arm, foot or leg",Back pain / Neck pain,Numbness or tingling in arms and legs,,,,CT / CT myelogram,Magnetic resonance imaging (MRI),X-rays,,,,,,,,,Surgery,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spine Deformation / Scoliosis,Uneven shoulders and/or hips.,Bump in the lower back.,Numbness in the legs,Trouble in walking,weakness in the legs,,,,Bone scan,CT scan,MRI scan,X-ray,,,,,,,,Surgery / Analgesics,Zorprin,Mg ,Aspirin ,500 mg ,,,,,Tablet ,,1,1,,,,twice a day,Yes,,14 days ,,,Yes ,,Yes ,,,,,"If symptoms worsen, surgery is the preferred. ",,,,,,,,,,,,,,,,,,,,
Spondylitis,lower back pain and stiffness,hip pain,Difficulty breathing.,abdominal pain ,back pain,diarrhea,,,medical history,MRI / CT scans,Spine x - rays,Blood tests,,,,,,,,Nonsteroidal anti-inflammatory drugs (NSAIDs),Nurofen,Mg ,Ibuprofen ,300 mg ,,,,,Tablet ,,1,1,,,,twice a day,Yes ,,7 days ,,,Yes ,,Yes ,,,,,Dose may be altered as desirable for the treatment. ,,,,,,,,,,,,,,,,,,https://www.1mg.com/drugs/nurofens-g-300mg-500mcg-tablet-570734,,
Spondylolysis,low back pain,stiffness in muscles,muscle spasms,pain in legs especially while walking,,,,,MRI Scans,CT scans,X-ray,,,,,,,,,nonsteroidal anti-inflammatory,Voltaren ,Mg,Diclofenac ,250 mg ,,,,,Tablet ,,1,1,,,,Every 6-8 hours ,Yes ,,7 days ,,,Yes ,,Yes ,,,,,Dose may be altered as desirable for the treatment. ,,,,,,,,,,,,,,,,,,,,
Sports Injury,Not being able to place weight on a leg/knee/ankle/foot,bone/joint that is visibly out of place.,Swelling,Extreme leg or arm weakness.,,,,,physical examination,ultrasound,imaging tests,,,,,,,,,painkillers,Advil ,Mg ,Ibuprofen ,500 mg ,,,,,Tablet ,,,,,1,1,twice a day,Yes ,,3 days ,,,No ,,No,,,,,"In case of severe pain, can be taken thrice a day. ",,,,,,,,,,,,,,,,,,,,
Stained Teeth,visible discoloration of teeth,pain in gums,trouble chewing,bad breath,,,,,dental history,ultraviolet light exposure,scratch testing,,,,,,,,,Antibiotics,Sumycin ,Mg,Tetracycline ,100 mg ,,,,,Tablet ,1,,,,,1,twice a day,yes,,3 days ,,,No ,,Yes,,,,,Avoid with milk and dairy products. ,,,,,,,,,,,,,,,,,,,,
Steatosis,Abdominal pain,Nausea,Yellowish skin ,Swollen abdomen and legs (edema),loss of appetite,Yellowish eyes,,,Complete blood count,Liver enzyme and liver function test,Tests for chronic viral hepatitis,Fasting blood sugar,,,,,,,,"Thiazolidinediones (TZDs), antidiabetic",Actigall,Mg,Ursodeoxycholic Acid,300 mg,,,,,Tablet ,,,,1,1,1,Thrice a day,Yes,,7 days,,,Yes ,,Yes,,,,,"Swallow it as a whole, do not crush, chew or break it.",,,You may need to break the tablet in half as per the dose prescribed by physician.,,,,,,,,,,,,,,,https://www.medindia.net/doctors/drug_information/ursodiol.htm,,
STIs,"Clear, white, greenish or yellowish vaginal discharge",Discharge from the penis,Strong vaginal odor,Vaginal itching or irritation,,,,,Herpes Testing,HIV Tests,Human Papillomavirus (HPV) Test,Syphilis Tests,,,,,,,,"Antibiotics, Antiviral",Broacil,Mg,Ampicillin,500 mg,,,,,Tablet ,,,1,1,1,1,Four times a day,Yes,,14 days,4 tablets,,Yes ,,Yes,,,,,"The recommended dose is 3 mg each 6 hours, whoch means 4 times per day",,,"Caution should be exercised in patients with kidney, liver diseases or other allergies",,,,,,,,,,,,,,,https://www.medindia.net/drug-price/ampicillin/broacil-capsule-tab-500mg.htm,,
Stomach And Intestinal Infections,nausea,vomiting,fever,loss of appetite,,,,,Barium beefsteak meal,Colorectal transit study,CT or CAT scan,MRI,,,,,,,,antibiotics,Cefizox,Mg,Ceftizoxime,250 mg,,,,,Injection,,,,1,,1,1g intravenously every 12 hours,Yes,,7 days,,,Yes ,,No,,,,,The injection is taken intravenously,,,Intravenous infusion should be administered either as a continuous or intermittent infusion over 15-30 minutes,,,,,,,,,,,,,,,https://www.medindia.net/drug-price/ceftizoxime/cefizox-1000mg.htm,,
Stomach Cancer,heartburn ,having problems swallowing (dysphagia),feeling of being sick,burping a lot,,,,,Biopsy,Molecular testing of the tumor,Endoscopy,Endoscopic ultrasound,,,,,,,,Chamo,Capiibine,Mg,Capecitabine,150 mg,,,,,Tablet ,,,,1,,1,2500 mg each day,Yes,,14 days,10 tablets,,Yes ,,Yes,,,,,Take the dosage orally with water twice a day,,,It can cause dizziness for a while,,,,,,,,,,,,,,,https://www.medindia.net/drug-price/capecitabine/capiibine-500-mg.htm,,
Stomach Disorder,Feeling bloated after eating,Heartburn,Indigestion,Nausea,,,,,Barium beefsteak meal,Colorectal transit study,Defecography,MRI,,,,,,,,"Proton pump inhibitors, H2 blockers",Kaopectate,Mg,Bismuth subsalicylate,262 mg,,,,,Suspension,,,,1,1,1,262g/15 ml should be taken thrice a day,Yes,,7 days,,,No ,,No,,,,,Dissolve the prescribed dosage of suspension in water and drink it,,,Stay hydrated as vomitting or diarhhea may happen,,,,,,,,,,,,,,,https://www.medindia.net/doctors/drug_information/bismuth_subsalicylate.htm,,
Stomach Infection,diarrhea,nausea ,fever or chills,sweaty skin,,,,,endoscopey,,,,,,,,,,,antibiotics,Cefizox,Mg,Ceftizoxime,250 mg,,,,,Injection,,,,1,,1,1g intravenously every 12 hours,Yes,,7 days,,,Yes ,,No,,,,,The injection is taken intravenously,,,Intravenous infusion should be administered either as a continuous or intermittent infusion over 15-30 minutes,,,,,,,,,,,,,,,https://www.medindia.net/drug-price/ceftizoxime/cefizox-1000mg.htm,,
Stomach Ulcer,dull pain in the stomach,weight loss,pain while eating,nausea ,,,,,Medical history,Physical Exam,Upper gastrointestinal (GI) endoscopy and biopsy,Computerized tomography (CT) scan,,,,,,,,Proton pump inhibitors (PPIs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strep Throat,Sore throat that can start very quickly,Pain when swallowing,Fever,Red swollen tonsils,,,,,Throat Cultur,Rapid Strep Test,Rapid Antigen Detection Test (RADT),Group A Streptococcus (GAS),,,,,,,,penicillin-like antibiotics,Cilimox,Mg,Ampicilin,250mg,,,,,Capsule,,,,1,1,1,0.25-3gm,yes,,10 days,10 tablet,,no,,yes,,,,,take full course,"contraindication with hyper sensitivity, caution with kidney ASTHMA liver patient and those allergic to pencillin, patients with phenylketonouria should be cautious . Do not drive if dizziness",,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1zoJuOA7o-jUx2ju02a1vkhb5iSbj05S5/view?usp=drivesdk,,
Stress,Chest pain,Exhaustion,"Headaches, dizziness or shaking",High blood pressure,,,,,exercise stress tests,nuclear stress tests,stress echocardiograms,,,,,,,,,"sedatives, antidepressants, and beta-blockers",Citalop tab,Mg,Citalopram,10 mg,,,,,Tablet,,,,1,,,10 mg/day,Yes,,30 days,10 tablets,,No,,No,,,,,It comes as a tablet to be taken orally with or without food,,,"It may develop suicidal thoughts in children, teenagers and young adults",,,,,,,,,,,,,,,https://drive.google.com/file/d/1zVG2eMmzl6hvHU_N2RAE2W3btpBLdYXt/view?usp=drivesdk,,
Stress and strain,Exhaustion,Digestive problems,Anxiety,Depression,,,,,Questionnaire,,,,,,,,,,,"Selective serotonin reuptake inhibitors, Tricylic antidepressants",Citalop tab,Mg,Citalopram,10 mg,,,,,Tablet,,,,1,,,10 mg/day,Yes,,30 days,10 tablets,,No,,No,,,,,It comes as a tablet to be taken orally with or without food,,,"It may develop suicidal thoughts in children, teenagers and young adults",,,,,,,,,,,,,,,https://drive.google.com/file/d/1zVG2eMmzl6hvHU_N2RAE2W3btpBLdYXt/view?usp=drivesdk,,
Structural Heart Disease,Chest pain,Irregular heartbeat,Shortness of breath,Fatigue,,,,,Echocardiogram,MRI,Chest X ray,Electrocardiogram,,,,,,,,Anticoagulants,Sofarin,Mg,Warfarin,5 mg,,,,,Tablet,,,,,1,,5 mg/day,Yes,,28 days,10 tablets,,Yes,,Yes,,,,,"Swallow it as a whole, do not crush, chew or break it.",,,You may need to break the tablet in half as per the dose prescribed by physician.,,,,,,,,,,,,,,,https://drive.google.com/file/d/1zXtED_ugsO29pBgr6RTK9WBokaHl1Yxr/view?usp=drivesdk,,
Stye/Hordeolum,Painful red bump along the eyelid near eyelashes,Eyelid pain ,Swelling of eyelid,Light sensitivity,,,,,Physical examnination,,,,,,,,,,,Antibiotics,etomin,Mg,erythromycin,125mg,,,,,tablets,1,,1,,,,250mg every 6 hours,yes,,,10 tablets,,yes,,yes,,,,,contraindiction with patients taking terfenadine or aztemizole and hyper sensitivity,contraindiction with patients taking terfenadine or aztemizole and hyper sensitivity,contraindiction with patients taking terfenadine or aztemizole and hyper sensitivity,contraindiction with patients taking terfenadine or aztemizole and hyper sensitivity,contraindiction with patients taking terfenadine or aztemizole and hyper sensitivity,contraindiction with patients taking terfenadine or aztemizole and hyper sensitivity,contraindiction with patients taking terfenadine or aztemizole and hyper sensitivity,contraindiction with patients taking terfenadine or aztemizole and hyper sensitivity,contraindiction with patients taking terfenadine or aztemizole and hyper sensitivity,,,,,take 1 hour before meal,,,,,https://drive.google.com/file/d/1zkch8G8iEunOrxtf22BAc4TZzguOoiyE/view?usp=drivesdk,,
Sun spots,Dark spots on skin,Darkening of skin,Hot skin temprature,Redish skin,,,,,Physical examnination,,,,,,,,,,,"Hydroquinone, Tretinoin","HQ-5 Lotion

",,Hydroquinone,,,,,,ointment,,,,,,,Adults and children over 12 years should apply hydroquinone on the affected area and rub it gently for every 12 hours.,yes,,,,,no,,yes,,,,,"For external use only
- Read the label carefully before use
- Keep out of the reach and sight of children",,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1zYBkCY5YySC9zr3ab-qsK0pHYgCAmrfy/view?usp=drivesdk,,
Superficial thrombophlebitis,Swelling of leg and arm,Pain in area of clot,Increased warmth in area of clot,Red skin in area of clot,,,,,Vascular ultrasound,,,,,,,,,,,"NSAIDs, Anticoagulants",Emflam,mg,Ibuprofen,200mg,,,,,tablet,1,1,1,,,,200mg -600mg/day,yes,,,10 days,,yes,,yes,,,,,"contraindication in people with asthma , hives , allergic reaction while taking aspirin or other NSAID cautious with kidney , liver ,blood problems , high blood pressure ,bleeding problame patients. Avoid alcohol consumption",,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1zaIuJktwroOmMcBw5Nh4gksT2GhCpmMk/view?usp=drivesdk,,
Swollen gums,Red coloured gums,Bleeding gums,Sensitive or irritated gums,Receding gums,,,,,X ray,Blood test,,,,,,,,,,"Antiseptics, Antiobiotics",listerine,ml,Eucalyptol,0.09%,menthol,0.04%,Methyl salicylate,0.06%,liquid,,,,,,,,yes,,,500ml,,no,,yes,,,,,"For best results, rinse with undiluted 20ml twice a day for 30 seconds. Don't rinse mouth with water or eat and drink anything for 30 minutes post rinse.",,,,,,,"For external use only. Not to be swallowed. Keep out of reach of children. Not recommended for children below 12 years of age. If you accidentally swallow quantity more than used for rinsing, get medical help.",,,,,,,,,,,,https://drive.google.com/file/d/1ziuZKpNh3jXemMS26zowhvWNVo6Zetfq/view?usp=drivesdk,
Syphilis,warts on genitals,Vaginal discharge,Itching,Ulcers,Swelling lymphs nodes,Fatigue,,,Blood test,CSF test,,,,,,,,,,Antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Systemic lupus erythematosis,muscle pain,Anemia,Rash,Fever,Fatigue,Hair loss,,,Physical examnination,X ray,Blood test,,,,,,,,,"Corticosteroids, Immunosuppressants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Systemic sclerosis,Joint pain,Rash ,Acid reflux ,Sensitivity to cold,Heartburn,Ulcers,,,X ray,CT scan,Physical examination,Skin biopsy,,,,,,,,"Corticosteroids, Immunosuppressants, NSAIDs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tags,Growth on skin,Darkening of skin,Friction from skin rubbing,Discomfort,,,,,Physical examnination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB,coughing for three or more weeks,chest pain or pain with breathing or coughing ,unintentional weight loss,Coughing up blood or mucus,Loss of appetite,Chills,,,Skin test,Blood test,Imaging test such as chest Xray or CT scan,Sputum test,,,,,,,,"Anti TB drugs,Antibiotics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teeth ache,Tooth pain may be sharp,Bad odor from mouth,Foul tasting drainage from infected tooth,Pain while chewing with teeth,Swelling around the tooth,Bleeding or discharge from around tooth or gums,,,"Physical examination of teeth,mouth,gums,jaws,tongue,throat",Dental X rays ,,,,,,,,,,"NSAIDs, Antibiotics",augmetin,mg,amoxcilin ,500mg,calvulanic acid,125mg,,,tablet,,,,1,,1,twice a day,yes,,,10 tablets,,,,yes,,,,,take full course,,,caustion for patients with kideny liver problame and if pregnent or brest feeding,,,caution if allergic to pencilin,,,,,,,,,,,,https://www.medindia.net/drug-price/amoxicillin/augmentin-500mg-125mg.htm,,
Teeth Decay,Spontaneous pain or pain that occurs without any apparent cause,"Mild to sharp pain when eating or drinking sweet,hot or cold","visible holes or pits in teeth, brown,black or white staining on any surface of a tooth",Pain when you bite down,Tooth sensitivity,Toothache,,,Examining mouth and teeth,probing teeth with dental instrument to check for soft area,Dental Xray,,,,,,,,,"Fluoride treatment,Antibacterial mouth rinses",phos flur gel,,sodium flouride,1.01%,,,,,moth wash,,,,,,1,once a day,yes,,,,,no,,yes,,,,,usally apply at bed time after brushing teethplace two tea sppon of solution into your mouth swish for 1 minute and spit out,,,,,,do not swollow,,,,,,,,,,,,https://www.drugs.com/pro/phos-flur-gel.html,,
Teeth grinding/Bruxism,Facial pain,Pain and stiffness in the jaw joint(temporamandibular joint),worn-down teeth leading to increased sensitivity,Dull headache starting in the temples,Earache,Disrupted sleep,,,Physical examination of teeth,dental X-rays,,,,,,,,,,"NSAIDs,muscle relaxants,Botox injection",skelebenze,mg,cyclobenzaprine,30mg,,,,,tablet,,,,1,,1,shortest dose possible to relive symptoms,,,,10 tablets,,yes,,yes,,,,,take with food take according to what doctoer priscribes,,,,do not consume alchol do not drive,caution with prgenent and brest feeding mothers and liver kidney diproblame patients,,,,,,,,,,,,,,,
Teeth sensitive to hot and cold,"pain or discomfort at the root of affected teeth due to triggering agent such as hot food,cold food,cold air,sweet,acidic food",,"fever,toothache,swelling or redness of gums",,,,,,Visual examination of teeth using dental instrument to check sensitivity,,Dental X-rays,,,,,,,,,"fluoride gel,desensitizing agent",sensodyne,mg,silica,,sodium flouride,,stontium acetate,,tooth paste,1,,,,,1,twicw a day,yes,,,,,no,,yes,,,,,bruch twice daily with 2cm paste not  more than three times a day brushingminimize swolling for rapid realif take small amount on clean finger tip and apply on base of sensitive tooth for one minute 2 times a day,,,,,,,,,,,,,,,,,,https://www.1mg.com/otc/sensodyne-fresh-mint-toothpaste-otc332034,,
Tendonitis,"pain often described as dullache,especially when moving the affected limb or joint, tenderness,mild swelling",,,,,,,,X-ray,Imaging test,,,,,,,,,,"pain reliever,anti inflammatory,corticosteroids",brufen,mg,ibuprofen,400mg,,,,,tablets,,,,,1,1,200 to 600mg,yes,,,15 tablets,,no,,yes,,,,,not consume wuth alchol caution for pregnent and brest feeding woman caution with kidney and liver patients and caution with blood disorder heart related problames and blood pressure,,,,,,,,,better o take with food,,,,,,,,,https://www.medindia.net/drug-price/ibuprofen/brufen-softra-400mg.htm,,
Tennis elbow,pain and tenderness in the bony knob on outside of elbow,pain radiate to upper or lower arm,pain while lifting things or gripping an object,weakness,,,,,X-ray,MRI,Physical examination of affected area,,,,,,,,,"NSAIDs, Corticosteroids,Platelet rich protein injections",voveran emulgel,gm,diclofenac sodiuam,30gm,,,,,gel,,,,1,1,1,4 time a day,yes,,,,,yes,,yes,,,,,"apply 4 times a day in moaring, after lunch after dinner and before bed time donot wash till 1 hour of applicatiom",,,,,,,,,,,,,,,,,,https://www.1mg.com/otc/voveran-emulgel-otc39381,,
Testicular,Pain in the lower back,ancer-related fatigue,painless testicular lump,swelling of scrotum,,,,,testicular ultrasound test,Blood tests,CT scan ,X-ray,,,,,,,,Dactinomycin,dampicin,mg,daptomycin,350mg,,,,,liqid,,,,,,,,,,,,,yes,,yes,,,,,the dose and duration will be decided by the DR the injection should be taken as long as DR priscribed DR or nurse can only addminstrate the drud,,,,,,,caution with kidney liver patients ,,,,,,,,,,,https://www.1mg.com/generics/daptomycin-212562,,
Thalassemia,Fatigue,Pale or yellowish skin,Facial bone deformities,Slow growth,,,,,Blood tests,DNA analysis,special hemoglobin tests,thalassemia profile test,,,,,,,,"deferasirox , deferiprone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Throat And Voice Problems,Hoarsenes,Weak voice or voice loss,tickling sensation ,Dry throat,rawness in the throat,,,,laryngoscopy,stroboscopy,Pysical examination,endoscopy,,,,,,,,Nonsteroidal anti-inflammatory drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Throat Infections,Pain or a scratchy sensation in the throat,Difficulty swallowing,Swollen,White patches or pus on your tonsils,red tonsils,,,,throat culture,strep test,Pysical examination,endoscopy,,,,,,,,Penicillin or amoxicillin,Kivomox CV ,mg.,Amoxicillin,400,clavulanic acid.,57,,,tablet,0,0,0,1,0,1,2,yes,,5,10,,yes,,yes,,,,,,,,It is better to take it with food as that helps increase absorption and decrease the risk of stomach upset. ,,,,,,,,,,,,,,,https://www.rxlist.com/amoxicillin-drug.htm,,
Thrombosis,Pain in one leg,Swelling in the leg or arm.,Chest pain.,Numbness or weakness on one side of the body,,,,,Duplex ultrasonography,CT scan,MRI,D-dimer test,,,,,,,,"Anticoagulants, Low Molecular Weight Heparins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thyroid Consultation,Gastrointestinal problems,Mood changes ,Sensitivity to temperature changes,Hair thinning or hair loss,weight change,,,,checking the levels of thyroid hormones,thyroid stimulating hormone test,thyroid antibody tests,"T3, T3RU test",,,,,,,,Levothyroxine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under eye,Mild saggy loose skin,Allergies,eye rubbing ,,,,,,Physical examination,,,,,,,,,,,"Hylarunoic acid,caffeine,Retinoid,Vitamin C and K",St.Botanica,%w/v,Vitamin C,10,Hylarunoic acid,,0.5,Vitamin B3,Serum,1,0,0,0,0,1,twice a day,yes,,,30g,,no,,no,,,,,take pea sized amountof serum and dab it on skin around your eye ,,,Place a cool compress over your eyes,Avoid drinking fluids before bed,Get restful sleep and sleep with you head raised,Place tea bags on your eyes,"Laser treatment,chemical peels and eyelid sugery may also be recommended",,,,,,,,,Jillian Goltzman,,https://drive.google.com/file/d/1KRe5rrewOlVxfc6DFqOHByNFrI2nS5f7/view?usp=sharing,,
Underweight,Getting sick frequently,"skin,hair or teeth problems",Irregular periods,anemia,feeling tired,,,,Body mass index,,,,,,,,,,,"Anti depressants,steroids",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eat small nutritious meals at least six times a day,"Your diet should include whole grain bread, cereal, fruits and vegetables, dairy products, nuts and seeds, cheese, scrambled eggs, fish and chicken",,have at least 6-8 glasses of water every day,quit smoking as well as consumption of alcohol and drugs,Exercise daily,,,,,,,,Dt.Ms.Archana Desai,,https://drive.google.com/file/d/1d_qMiJhckbFCxcDOIHEa4h2mrBoLVqMG/view?usp=sharing,,
Undescended testes,Scrotum looks loose and flat,Not seeing or feeling a testicle where it's expected to be in the scrotum,,,,,,,Laproscopy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surgery Orchiopexy is the only treatment and should be done at last till 12 months of age,,,,,,,,,,,,,,,https://drive.google.com/file/d/1fSO81dbwZDWIu41nLvCcMVWMfLXkx973/view?usp=sharing,,
Urethral stone,Pain with urination,Nausea and vomiting,Pain in the back and side,Blood in urine,,,,,Urinalysis,,,,,,,,,,,"Calcium channel blockers,alpha antagonists",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary fistula,Abdominal pain,Passing gas from urethra while urinating,Foul smelling gas,,,,,,Pelvic x-ray,,,,,,,,,,,Antibiotics and Penicillin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary incontinence children,Urgent need to urinate,uncontrollable urge to urinate,,,,,,,"X-ray,Urodynamic testing","Electromyogram,cystourethrogram",,,,,,,,,,"Antimuscarinics,anticholinergics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary reflux,cloudy urine,Pain in abdomen,burning sensation while urinating,fever,,,,,Voiding crystogram,X-ray of bladder,,,,,,,,,,Amoxicillin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary tract infection,A strong persistant urge to uriate,Burning sensation when urinating,Strong smelling urine,Urine that appears cloudy,,,,,Urine sample,,,  ,,,,,,,,Antibiotics and Penicillin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urticaria,raised area of skin,swelling or inflammation ,itching or flare,red or skin coloured welts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uremia ,"nausea, vomiting, or hiccup","fatigue,, or loss of appetite",abnormality of taste,severe unintentional weight loss,high blood pressure,insufficient urine production,itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulcerative colitis ,"pain in abdomen,joints,rectum ",bloating,fever,cramping or weight loss,diarrhoea,blood in stool,anaemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vasculitis,"pain in abdomen, joints,muscles ",fatigue or fever,rashes ,joint swelling,ulcers,weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vaginal cancer,"Unusual bleeding from your vagina

","Watery or bad-smelling discharge from your vagina

","A lump in your vagina

",constipation ,,,,,Pelvic examination,Colposcopy,Ultrasound,Endoscopy,,,,,,,,anticancer drugs,Gardasil,ml,human papilloma virus L1 protein,0.5ml,,,,,intramuscular injection,,,,,,,,,,"For the quadrivalent vaccine, the second dose is given 2 months after the first dose, and the last (third) is given 6 months after the first dose. For the bivalent vaccine, the second dose is administered 1 month after the first, and the third dose at 6 months after the initial dose.",0.5 ml,,yes,,yes,,,,,,,,,,,,,,,,,,,,,Dr. Kapil Kumar,,https://www.drugs.com/search.php?searchterm=Gardasil&a=1,,
whooping cough ,chronic cough ,congestion,fatigue or fever,vomiting ,sneezing,running nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warts,itching,lesions,fleshy growths on skin,rough to the touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetanus,fever,muscle spasms,episodes of no breathing or shortness of breath,stiff muscles,problems in swallowing,,high blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trigeminal neuralgia ,"Episodes of severe shooting or jabbing pain that may feel like an electric shock, spontaneous attacks of pain or attacks triggered by things such as touching the face, chewing, speaking or brushing teeth, oversensitivity or uncomfortable tingling sensation, constant aching and burning that may occur before it evolves into spasm like pain ",,,"Pain in areas including the cheek, jaw, teeth, gums, lips or less often the eye and forehead, pain affecting one side of the face at a time or both the sides rarely, pain focused in one spot or spread in wider pattern, attacks that become more frequent and intense over time ",,,,,"Description of pain, Physical & Neurological Examination ",Magnetic Resonance Imaging,,,,,,,,,,"Anticonvulsants, Antispasmodic agents, Tricyclic antidepressants, Analgesics ",Tegrital 200 Tablet, mg ,carbamazepine,200,,,,,Tablet,,,,,1,,200 mg B.I.D,yes,,,10,,Yes,,yes ,,,,,,,,It may cause dizziness and sleepiness. Do not drive or do anything that requires mental focus until you know how it affects,Talk to your doctor if you notice sudden mood changes or develop suicidal thoughts.,Inform your doctor if you notice a rash or other skin changes such as reddish spot or circular patches while taking this medicine.,,,,,,,,,,,,,https://www.1mg.com/drugs/tegrital-200-tablet-48865,,
Tropical disease parasitic malaria ,fever, vomiting,"high temperature above 38C,  ",muscle pain,fatigue,diarrhoea,shivering or sweating,,Physical examination & Travel history,"Blood smear test, Malaria Rapid Diagnostic tests, PCR",Indirect Immunofluroscence or ELISA,Drug Resistance tests ,,,,,,,,Antimalarials ,Aralen ,mg ,chloroquine phosphate,500,,,,,Tablet,,,,,1,,Adult Dose: 500 mg,yes,,on exactly the same day of each week.,10,,NO,,yes ,,,,,,,,"If you are also taking a certain drug for diarrhea (kaolin) or taking antacids (such as magnesium/aluminum hydroxide), take chloroquine at least 4 hours before or after these products.",,,,,,,,,,,,,,,"Aralen (Chloroquine): Uses, Dosage, Side Effects, Interactions, Warning (rxlist.com)",,
Tube cancer ,"bleeding through vagina when not in period or after menopause, white, clear or pink discharge from the vagina","pain or pressure in lower abdomen, lump or swelling in lower belly",chronic back pain,"pelvic pain or mass, ",indigestion,feeling full quickly,constipation,,Pelvic Examination ,"PAP test, Transvaginal Ultrasound, CT-Scan, MRI, PET Scan, Biopsy ",CA125 Test,,,,,,,,,Antineoplastic agents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tumor Celar ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoid ,pain in abdomen or muscles  , fever starts low and increases daily reaching as high as 104.9 F,headache,constipation,weakness,nausea or vomiting,diarrhea,,"Widal test, Blood, Stool or Urine culture",Medical and Travel history,,,,,,,,,,Antibiotics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulcer ,Pain in chest or upper abdomen,  passing excessive amount of gas,loss of appetite,diarrhea often with blood or pus,trouble breathing,vomiting/vomiting blood which appears red or black,abdominal discomfort,,"Blood, Stool or Breath test","Endoscopy, X-ray abdomen",,,,,,,,,,"Antibiotics, Proton pump inhibitors, Antihistamines, Antacids, Cytoprotective agents ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
